loop_count=12100/100000, max_score=943.099, min_score=910.021, running_time=2.37492h, search_time=1.68745h
loop_count=12200/100000, max_score=943.099, min_score=910.582, running_time=2.39686h, search_time=1.70283h
loop_count=12300/100000, max_score=943.099, min_score=910.826, running_time=2.41998h, search_time=1.71798h
loop_count=12400/100000, max_score=943.099, min_score=911.162, running_time=2.44188h, search_time=1.73331h
loop_count=12500/100000, max_score=943.099, min_score=911.382, running_time=2.4647h, search_time=1.74837h
loop_count=12600/100000, max_score=943.099, min_score=911.927, running_time=2.48754h, search_time=1.76392h
loop_count=12700/100000, max_score=943.099, min_score=912.523, running_time=2.51003h, search_time=1.7796h
loop_count=12800/100000, max_score=943.099, min_score=913.016, running_time=2.53169h, search_time=1.795h
loop_count=12900/100000, max_score=943.099, min_score=913.753, running_time=2.55501h, search_time=1.81064h
loop_count=13000/100000, max_score=943.099, min_score=914.28, running_time=2.57757h, search_time=1.82606h
loop_count=13100/100000, max_score=943.099, min_score=914.787, running_time=2.60047h, search_time=1.84173h
loop_count=13200/100000, max_score=943.099, min_score=915.249, running_time=2.6232h, search_time=1.85686h
loop_count=13300/100000, max_score=945.983, min_score=915.557, running_time=2.64584h, search_time=1.8725h
loop_count=13400/100000, max_score=945.983, min_score=916.076, running_time=2.66739h, search_time=1.88737h
loop_count=13500/100000, max_score=945.983, min_score=916.584, running_time=2.68946h, search_time=1.90254h
loop_count=13600/100000, max_score=945.983, min_score=916.842, running_time=2.71102h, search_time=1.91808h
loop_count=13700/100000, max_score=945.983, min_score=917.453, running_time=2.73261h, search_time=1.93363h
loop_count=13800/100000, max_score=945.983, min_score=917.716, running_time=2.75476h, search_time=1.94901h
loop_count=13900/100000, max_score=945.983, min_score=918.022, running_time=2.77788h, search_time=1.9649h
loop_count=14000/100000, max_score=945.983, min_score=918.393, running_time=2.79973h, search_time=1.98005h
loop_count=14100/100000, max_score=945.983, min_score=918.795, running_time=2.8229h, search_time=1.9953h
loop_count=14200/100000, max_score=945.983, min_score=919.008, running_time=2.84549h, search_time=2.01015h
loop_count=14300/100000, max_score=945.983, min_score=919.384, running_time=2.86825h, search_time=2.02556h
loop_count=14400/100000, max_score=945.983, min_score=919.79, running_time=2.89124h, search_time=2.04105h
loop_count=14500/100000, max_score=945.983, min_score=919.994, running_time=2.91255h, search_time=2.05641h
loop_count=14600/100000, max_score=945.983, min_score=920.29, running_time=2.93495h, search_time=2.07186h
loop_count=14700/100000, max_score=945.983, min_score=920.637, running_time=2.95812h, search_time=2.08715h
loop_count=14800/100000, max_score=945.983, min_score=921.055, running_time=2.97996h, search_time=2.10278h
loop_count=14900/100000, max_score=945.983, min_score=921.453, running_time=3.00228h, search_time=2.11818h
loop_count=15000/100000, max_score=945.983, min_score=921.921, running_time=3.02513h, search_time=2.13336h
loop_count=15100/100000, max_score=945.983, min_score=922.099, running_time=3.04732h, search_time=2.14863h
loop_count=15200/100000, max_score=945.983, min_score=922.301, running_time=3.06911h, search_time=2.16361h
loop_count=15300/100000, max_score=945.983, min_score=922.58, running_time=3.09188h, search_time=2.17861h
loop_count=15400/100000, max_score=945.983, min_score=922.824, running_time=3.1152h, search_time=2.19436h
loop_count=15500/100000, max_score=945.983, min_score=923.1, running_time=3.13791h, search_time=2.20976h
loop_count=15600/100000, max_score=945.983, min_score=923.354, running_time=3.1608h, search_time=2.22485h
loop_count=15700/100000, max_score=945.983, min_score=923.784, running_time=3.18279h, search_time=2.23987h
loop_count=15800/100000, max_score=945.983, min_score=923.997, running_time=3.20449h, search_time=2.25519h
loop_count=15900/100000, max_score=945.983, min_score=924.265, running_time=3.22751h, search_time=2.27064h
loop_count=16000/100000, max_score=945.983, min_score=924.549, running_time=3.24948h, search_time=2.28595h
loop_count=16100/100000, max_score=945.983, min_score=924.68, running_time=3.27142h, search_time=2.30084h
loop_count=16200/100000, max_score=955.551, min_score=924.878, running_time=3.29434h, search_time=2.31619h
loop_count=16300/100000, max_score=955.551, min_score=925.162, running_time=3.31556h, search_time=2.33112h
loop_count=16400/100000, max_score=958.172, min_score=925.436, running_time=3.33832h, search_time=2.34654h
loop_count=16500/100000, max_score=958.172, min_score=925.768, running_time=3.3602h, search_time=2.36179h
loop_count=16600/100000, max_score=958.172, min_score=925.976, running_time=3.38273h, search_time=2.37705h
loop_count=16700/100000, max_score=958.172, min_score=926.386, running_time=3.40404h, search_time=2.39209h
loop_count=16800/100000, max_score=958.172, min_score=926.8, running_time=3.42583h, search_time=2.40748h
loop_count=16900/100000, max_score=958.172, min_score=927.15, running_time=3.4478h, search_time=2.42271h
loop_count=17000/100000, max_score=958.172, min_score=927.369, running_time=3.47041h, search_time=2.43781h
loop_count=17100/100000, max_score=958.172, min_score=927.556, running_time=3.49275h, search_time=2.45282h
loop_count=17200/100000, max_score=958.172, min_score=927.762, running_time=3.51546h, search_time=2.46814h
loop_count=17300/100000, max_score=958.172, min_score=927.913, running_time=3.53781h, search_time=2.48306h
loop_count=17400/100000, max_score=958.172, min_score=928.314, running_time=3.55972h, search_time=2.49838h
loop_count=17500/100000, max_score=958.172, min_score=928.504, running_time=3.58148h, search_time=2.51353h
loop_count=17600/100000, max_score=958.172, min_score=928.82, running_time=3.60331h, search_time=2.52856h
loop_count=17700/100000, max_score=958.172, min_score=928.909, running_time=3.62534h, search_time=2.54383h
loop_count=17800/100000, max_score=958.172, min_score=929.274, running_time=3.64771h, search_time=2.5589h
loop_count=17900/100000, max_score=958.172, min_score=929.516, running_time=3.66974h, search_time=2.57421h
loop_count=18000/100000, max_score=958.172, min_score=929.778, running_time=3.69245h, search_time=2.58932h
loop_count=18100/100000, max_score=958.172, min_score=930.041, running_time=3.71451h, search_time=2.60464h
loop_count=18200/100000, max_score=958.172, min_score=930.138, running_time=3.73647h, search_time=2.61993h
loop_count=18300/100000, max_score=958.172, min_score=930.268, running_time=3.75854h, search_time=2.63505h
loop_count=18400/100000, max_score=958.172, min_score=930.502, running_time=3.78067h, search_time=2.6503h
loop_count=18500/100000, max_score=958.172, min_score=930.734, running_time=3.80303h, search_time=2.66554h
loop_count=18600/100000, max_score=958.172, min_score=930.874, running_time=3.82536h, search_time=2.68056h
loop_count=18700/100000, max_score=958.172, min_score=931.005, running_time=3.84685h, search_time=2.69528h
loop_count=18800/100000, max_score=958.172, min_score=931.186, running_time=3.86984h, search_time=2.7104h
loop_count=18900/100000, max_score=958.172, min_score=931.348, running_time=3.89281h, search_time=2.72549h
loop_count=19000/100000, max_score=958.172, min_score=931.756, running_time=3.91547h, search_time=2.74077h
loop_count=19100/100000, max_score=958.172, min_score=931.92, running_time=3.93857h, search_time=2.75589h
loop_count=19200/100000, max_score=958.172, min_score=931.997, running_time=3.96026h, search_time=2.77071h
loop_count=19300/100000, max_score=958.172, min_score=932.227, running_time=3.98311h, search_time=2.78607h
loop_count=19400/100000, max_score=958.172, min_score=932.438, running_time=4.00426h, search_time=2.80123h
loop_count=19500/100000, max_score=958.172, min_score=932.639, running_time=4.02666h, search_time=2.81617h
loop_count=19600/100000, max_score=958.172, min_score=932.788, running_time=4.0484h, search_time=2.83129h
loop_count=19700/100000, max_score=958.172, min_score=932.929, running_time=4.07207h, search_time=2.8463h
loop_count=19800/100000, max_score=958.172, min_score=933.161, running_time=4.09454h, search_time=2.86172h
loop_count=19900/100000, max_score=958.172, min_score=933.428, running_time=4.11702h, search_time=2.87706h
loop_count=20000/100000, max_score=958.172, min_score=933.697, running_time=4.1402h, search_time=2.89243h
loop_count=20100/100000, max_score=958.172, min_score=933.902, running_time=4.16352h, search_time=2.9076h
loop_count=20200/100000, max_score=958.172, min_score=934.031, running_time=4.18669h, search_time=2.92251h
loop_count=20300/100000, max_score=958.172, min_score=934.152, running_time=4.20915h, search_time=2.93786h
loop_count=20400/100000, max_score=958.172, min_score=934.452, running_time=4.23236h, search_time=2.95286h
loop_count=20500/100000, max_score=958.172, min_score=934.575, running_time=4.25393h, search_time=2.96784h
loop_count=20600/100000, max_score=958.172, min_score=934.67, running_time=4.27575h, search_time=2.98273h
loop_count=20700/100000, max_score=958.172, min_score=934.893, running_time=4.29785h, search_time=2.99772h
loop_count=20800/100000, max_score=958.172, min_score=935.105, running_time=4.32018h, search_time=3.01306h
loop_count=20900/100000, max_score=958.172, min_score=935.341, running_time=4.34362h, search_time=3.02876h
loop_count=21000/100000, max_score=958.172, min_score=935.472, running_time=4.36568h, search_time=3.04436h
loop_count=21100/100000, max_score=958.172, min_score=935.666, running_time=4.38914h, search_time=3.05961h
loop_count=21200/100000, max_score=958.172, min_score=935.832, running_time=4.41138h, search_time=3.07489h
loop_count=21300/100000, max_score=958.172, min_score=936.024, running_time=4.4339h, search_time=3.09012h
loop_count=21400/100000, max_score=958.172, min_score=936.163, running_time=4.45689h, search_time=3.10547h
loop_count=21500/100000, max_score=958.172, min_score=936.365, running_time=4.48126h, search_time=3.12102h
loop_count=21600/100000, max_score=958.172, min_score=936.544, running_time=4.50387h, search_time=3.13637h
loop_count=21700/100000, max_score=958.172, min_score=936.746, running_time=4.52679h, search_time=3.15164h
loop_count=21800/100000, max_score=958.172, min_score=936.981, running_time=4.55154h, search_time=3.16726h
loop_count=21900/100000, max_score=959.592, min_score=937.098, running_time=4.57501h, search_time=3.18265h
loop_count=22000/100000, max_score=959.592, min_score=937.31, running_time=4.59767h, search_time=3.19788h
loop_count=22100/100000, max_score=959.592, min_score=937.59, running_time=4.62144h, search_time=3.2137h
loop_count=22200/100000, max_score=959.592, min_score=937.844, running_time=4.6451h, search_time=3.22905h
loop_count=22300/100000, max_score=959.592, min_score=938.072, running_time=4.6686h, search_time=3.2444h
loop_count=22400/100000, max_score=959.592, min_score=938.317, running_time=4.69216h, search_time=3.25957h
loop_count=22500/100000, max_score=959.592, min_score=938.577, running_time=4.71378h, search_time=3.27532h
loop_count=22600/100000, max_score=960.732, min_score=938.71, running_time=4.73869h, search_time=3.29101h
loop_count=22700/100000, max_score=960.732, min_score=938.867, running_time=4.76216h, search_time=3.30642h
loop_count=22800/100000, max_score=960.732, min_score=939.166, running_time=4.78398h, search_time=3.32206h
loop_count=22900/100000, max_score=960.732, min_score=939.743, running_time=4.80667h, search_time=3.33741h
loop_count=23000/100000, max_score=960.732, min_score=939.975, running_time=4.83025h, search_time=3.35282h
loop_count=23100/100000, max_score=960.732, min_score=940.215, running_time=4.85309h, search_time=3.36802h
loop_count=23200/100000, max_score=960.732, min_score=940.575, running_time=4.87641h, search_time=3.38332h
loop_count=23300/100000, max_score=960.732, min_score=940.873, running_time=4.89922h, search_time=3.39875h
loop_count=23400/100000, max_score=960.732, min_score=941.117, running_time=4.92197h, search_time=3.41427h
loop_count=23500/100000, max_score=960.732, min_score=941.319, running_time=4.94582h, search_time=3.42987h
loop_count=23600/100000, max_score=960.732, min_score=941.609, running_time=4.96882h, search_time=3.44512h
loop_count=23700/100000, max_score=960.732, min_score=941.804, running_time=4.99167h, search_time=3.46062h
loop_count=23800/100000, max_score=960.732, min_score=942.086, running_time=5.01397h, search_time=3.47587h
loop_count=23900/100000, max_score=960.732, min_score=942.233, running_time=5.03745h, search_time=3.49143h
loop_count=24000/100000, max_score=960.732, min_score=942.404, running_time=5.06118h, search_time=3.50736h
loop_count=24100/100000, max_score=962.216, min_score=942.614, running_time=5.0841h, search_time=3.52294h
loop_count=24200/100000, max_score=962.216, min_score=942.779, running_time=5.10685h, search_time=3.5383h
loop_count=24300/100000, max_score=962.216, min_score=942.951, running_time=5.1301h, search_time=3.55391h
loop_count=24400/100000, max_score=962.216, min_score=943.187, running_time=5.15381h, search_time=3.56962h
loop_count=24500/100000, max_score=962.216, min_score=943.313, running_time=5.17742h, search_time=3.58458h
loop_count=24600/100000, max_score=962.216, min_score=943.648, running_time=5.20017h, search_time=3.60002h
loop_count=24700/100000, max_score=962.216, min_score=943.929, running_time=5.22295h, search_time=3.61548h
loop_count=24800/100000, max_score=963.094, min_score=944.088, running_time=5.24489h, search_time=3.63114h
loop_count=24900/100000, max_score=963.094, min_score=944.364, running_time=5.2692h, search_time=3.64675h
loop_count=25000/100000, max_score=963.094, min_score=944.564, running_time=5.29189h, search_time=3.66239h
loop_count=25100/100000, max_score=963.094, min_score=944.84, running_time=5.31422h, search_time=3.67784h
loop_count=25200/100000, max_score=963.094, min_score=944.982, running_time=5.33734h, search_time=3.69337h
loop_count=25300/100000, max_score=963.094, min_score=945.111, running_time=5.36108h, search_time=3.70901h
loop_count=25400/100000, max_score=963.094, min_score=945.418, running_time=5.38567h, search_time=3.72476h
loop_count=25500/100000, max_score=963.094, min_score=945.565, running_time=5.40859h, search_time=3.74012h
loop_count=25600/100000, max_score=963.094, min_score=945.849, running_time=5.4309h, search_time=3.75588h
loop_count=25700/100000, max_score=963.094, min_score=946.044, running_time=5.45516h, search_time=3.77158h
loop_count=25800/100000, max_score=963.094, min_score=946.309, running_time=5.47962h, search_time=3.78726h
loop_count=25900/100000, max_score=963.094, min_score=946.614, running_time=5.5032h, search_time=3.80313h
loop_count=26000/100000, max_score=963.094, min_score=946.837, running_time=5.52622h, search_time=3.81915h
loop_count=26100/100000, max_score=963.094, min_score=947.011, running_time=5.55016h, search_time=3.83519h
loop_count=26200/100000, max_score=963.094, min_score=947.13, running_time=5.57404h, search_time=3.85084h
loop_count=26300/100000, max_score=963.094, min_score=947.276, running_time=5.59774h, search_time=3.86622h
loop_count=26400/100000, max_score=963.094, min_score=947.377, running_time=5.62189h, search_time=3.88187h
loop_count=26500/100000, max_score=963.094, min_score=947.464, running_time=5.64583h, search_time=3.89762h
loop_count=26600/100000, max_score=963.094, min_score=947.617, running_time=5.66907h, search_time=3.91304h
loop_count=26700/100000, max_score=963.094, min_score=947.796, running_time=5.69199h, search_time=3.92893h
loop_count=26800/100000, max_score=963.094, min_score=948.009, running_time=5.7154h, search_time=3.94488h
loop_count=26900/100000, max_score=963.094, min_score=948.129, running_time=5.73968h, search_time=3.96068h
loop_count=27000/100000, max_score=963.094, min_score=948.276, running_time=5.76237h, search_time=3.97676h
loop_count=27100/100000, max_score=963.094, min_score=948.333, running_time=5.78523h, search_time=3.99221h
loop_count=27200/100000, max_score=963.094, min_score=948.485, running_time=5.80914h, search_time=4.00814h
loop_count=27300/100000, max_score=963.094, min_score=948.646, running_time=5.83334h, search_time=4.02386h
loop_count=27400/100000, max_score=963.094, min_score=948.728, running_time=5.85725h, search_time=4.0397h
loop_count=27500/100000, max_score=963.094, min_score=948.804, running_time=5.88005h, search_time=4.05494h
loop_count=27600/100000, max_score=963.094, min_score=948.933, running_time=5.90457h, search_time=4.07131h
loop_count=27700/100000, max_score=963.094, min_score=949.096, running_time=5.92837h, search_time=4.08711h
loop_count=27800/100000, max_score=963.094, min_score=949.315, running_time=5.95205h, search_time=4.10294h
