The seed number is set to 456
loop_count=17100/100000, max_score=927.748, min_score=877.073, time=1.47899h
loop_count=17200/100000, max_score=927.748, min_score=877.236, time=1.48627h
loop_count=17300/100000, max_score=927.748, min_score=877.61, time=1.49369h
loop_count=17400/100000, max_score=927.748, min_score=878.09, time=1.50105h
loop_count=17500/100000, max_score=927.748, min_score=878.569, time=1.5078h
loop_count=17600/100000, max_score=927.748, min_score=878.722, time=1.51436h
loop_count=17700/100000, max_score=927.748, min_score=878.813, time=1.52108h
loop_count=17800/100000, max_score=927.748, min_score=878.997, time=1.5283h
loop_count=17900/100000, max_score=927.748, min_score=879.222, time=1.53423h
loop_count=18000/100000, max_score=927.748, min_score=879.729, time=1.54104h
loop_count=18100/100000, max_score=927.748, min_score=879.844, time=1.54678h
loop_count=18200/100000, max_score=927.748, min_score=880.394, time=1.55342h
loop_count=18300/100000, max_score=927.748, min_score=880.655, time=1.56119h
loop_count=18400/100000, max_score=927.748, min_score=880.898, time=1.56702h
loop_count=18500/100000, max_score=927.748, min_score=881.363, time=1.57443h
loop_count=18600/100000, max_score=927.748, min_score=881.772, time=1.58151h
loop_count=18700/100000, max_score=927.748, min_score=882.064, time=1.58811h
loop_count=18800/100000, max_score=927.748, min_score=882.412, time=1.59533h
loop_count=18900/100000, max_score=927.748, min_score=882.849, time=1.60465h
loop_count=19000/100000, max_score=927.748, min_score=883.167, time=1.61374h
loop_count=19100/100000, max_score=927.748, min_score=883.355, time=1.62184h
loop_count=19200/100000, max_score=927.748, min_score=883.43, time=1.62979h
loop_count=19300/100000, max_score=927.748, min_score=883.54, time=1.63817h
loop_count=19400/100000, max_score=927.748, min_score=883.849, time=1.64656h
loop_count=19500/100000, max_score=927.748, min_score=884.461, time=1.65473h
loop_count=19600/100000, max_score=927.748, min_score=884.717, time=1.66319h
loop_count=19700/100000, max_score=927.748, min_score=884.926, time=1.67216h
loop_count=19800/100000, max_score=927.748, min_score=885.49, time=1.68071h
loop_count=19900/100000, max_score=927.748, min_score=885.876, time=1.68892h
loop_count=20000/100000, max_score=927.748, min_score=886.03, time=1.69702h
loop_count=20100/100000, max_score=927.748, min_score=886.381, time=1.70526h
loop_count=20200/100000, max_score=927.748, min_score=886.754, time=1.71209h
loop_count=20300/100000, max_score=927.748, min_score=887.05, time=1.71888h
loop_count=20400/100000, max_score=931.208, min_score=887.4, time=1.72531h
loop_count=20500/100000, max_score=931.208, min_score=887.722, time=1.73314h
loop_count=20600/100000, max_score=931.208, min_score=888.184, time=1.74025h
loop_count=20700/100000, max_score=931.208, min_score=888.534, time=1.74848h
loop_count=20800/100000, max_score=931.208, min_score=888.86, time=1.75474h
loop_count=20900/100000, max_score=931.208, min_score=889.051, time=1.76061h
loop_count=21000/100000, max_score=931.208, min_score=889.34, time=1.76748h
loop_count=21100/100000, max_score=931.208, min_score=889.452, time=1.77385h
loop_count=21200/100000, max_score=931.208, min_score=889.868, time=1.78078h
loop_count=21300/100000, max_score=931.208, min_score=890.032, time=1.78707h
loop_count=21400/100000, max_score=931.208, min_score=890.248, time=1.79324h
loop_count=21500/100000, max_score=931.208, min_score=890.399, time=1.80118h
loop_count=21600/100000, max_score=931.208, min_score=890.609, time=1.80887h
loop_count=21700/100000, max_score=931.208, min_score=890.836, time=1.81585h
loop_count=21800/100000, max_score=931.208, min_score=891.059, time=1.82265h
loop_count=21900/100000, max_score=931.208, min_score=891.35, time=1.8298h
loop_count=22000/100000, max_score=931.208, min_score=891.511, time=1.83677h
loop_count=22100/100000, max_score=931.208, min_score=891.755, time=1.84343h
loop_count=22200/100000, max_score=931.208, min_score=892.034, time=1.8518h
loop_count=22300/100000, max_score=931.208, min_score=892.415, time=1.85931h
loop_count=22400/100000, max_score=931.208, min_score=892.66, time=1.86675h
loop_count=22500/100000, max_score=931.208, min_score=892.858, time=1.87284h
loop_count=22600/100000, max_score=931.208, min_score=893.087, time=1.8798h
loop_count=22700/100000, max_score=931.208, min_score=893.363, time=1.88634h
loop_count=22800/100000, max_score=931.208, min_score=893.732, time=1.89319h
loop_count=22900/100000, max_score=931.632, min_score=894.114, time=1.90012h
loop_count=23000/100000, max_score=931.632, min_score=894.221, time=1.90813h
loop_count=23100/100000, max_score=931.632, min_score=894.332, time=1.91506h
loop_count=23200/100000, max_score=938.245, min_score=894.564, time=1.92566h
loop_count=23300/100000, max_score=938.245, min_score=894.679, time=1.93361h
loop_count=23400/100000, max_score=938.245, min_score=894.865, time=1.94253h
loop_count=23500/100000, max_score=938.245, min_score=895.011, time=1.95189h
loop_count=23600/100000, max_score=938.245, min_score=895.391, time=1.96185h
loop_count=23700/100000, max_score=938.245, min_score=895.525, time=1.96846h
loop_count=23800/100000, max_score=938.245, min_score=895.99, time=1.97702h
loop_count=23900/100000, max_score=938.245, min_score=896.193, time=1.98491h
loop_count=24000/100000, max_score=938.245, min_score=896.41, time=1.99402h
loop_count=24100/100000, max_score=938.245, min_score=896.812, time=2.00344h
loop_count=24200/100000, max_score=938.245, min_score=896.999, time=2.01216h
loop_count=24300/100000, max_score=938.245, min_score=897.133, time=2.02166h
loop_count=24400/100000, max_score=938.245, min_score=897.356, time=2.03174h
loop_count=24500/100000, max_score=938.245, min_score=897.544, time=2.03966h
