loop_count=11400/100000, max_score=90.0575, min_score=86.0086, running_time=1.31342h, search_time=0.513615h
loop_count=11500/100000, max_score=90.4356, min_score=86.0864, running_time=1.32874h, search_time=0.518428h
loop_count=11600/100000, max_score=90.4356, min_score=86.1515, running_time=1.3436h, search_time=0.523251h
loop_count=11700/100000, max_score=90.4356, min_score=86.2268, running_time=1.358h, search_time=0.528171h
loop_count=11800/100000, max_score=90.4356, min_score=86.3168, running_time=1.37236h, search_time=0.532946h
loop_count=11900/100000, max_score=90.4356, min_score=86.4366, running_time=1.38687h, search_time=0.53772h
loop_count=12000/100000, max_score=90.4356, min_score=86.5013, running_time=1.40225h, search_time=0.542486h
loop_count=12100/100000, max_score=90.4356, min_score=86.5875, running_time=1.41824h, search_time=0.547309h
loop_count=12200/100000, max_score=90.4356, min_score=86.6746, running_time=1.43276h, search_time=0.552181h
loop_count=12300/100000, max_score=90.4356, min_score=86.7324, running_time=1.44945h, search_time=0.557052h
loop_count=12400/100000, max_score=90.4356, min_score=86.7953, running_time=1.46287h, search_time=0.562054h
loop_count=12500/100000, max_score=90.4356, min_score=86.8779, running_time=1.47822h, search_time=0.566822h
loop_count=12600/100000, max_score=90.4356, min_score=86.9431, running_time=1.49531h, search_time=0.571471h
loop_count=12700/100000, max_score=90.4356, min_score=86.9998, running_time=1.51053h, search_time=0.576293h
loop_count=12800/100000, max_score=90.4356, min_score=87.071, running_time=1.52509h, search_time=0.58116h
loop_count=12900/100000, max_score=90.4423, min_score=87.1311, running_time=1.53995h, search_time=0.585914h
loop_count=13000/100000, max_score=90.4423, min_score=87.224, running_time=1.55759h, search_time=0.59092h
loop_count=13100/100000, max_score=90.4423, min_score=87.2951, running_time=1.57249h, search_time=0.595744h
loop_count=13200/100000, max_score=90.4423, min_score=87.3818, running_time=1.58866h, search_time=0.600726h
loop_count=13300/100000, max_score=90.4423, min_score=87.4309, running_time=1.60412h, search_time=0.605473h
loop_count=13400/100000, max_score=90.4423, min_score=87.4868, running_time=1.61981h, search_time=0.610247h
loop_count=13500/100000, max_score=90.4423, min_score=87.5375, running_time=1.63565h, search_time=0.615053h
loop_count=13600/100000, max_score=91.1701, min_score=87.5777, running_time=1.65188h, search_time=0.620106h
loop_count=13700/100000, max_score=91.1701, min_score=87.6471, running_time=1.66648h, search_time=0.625041h
loop_count=13800/100000, max_score=91.1701, min_score=87.691, running_time=1.68104h, search_time=0.63011h
loop_count=13900/100000, max_score=91.1701, min_score=87.7499, running_time=1.69645h, search_time=0.635062h
loop_count=14000/100000, max_score=91.1701, min_score=87.7902, running_time=1.71049h, search_time=0.639888h
loop_count=14100/100000, max_score=91.1701, min_score=87.8412, running_time=1.726h, search_time=0.644816h
loop_count=14200/100000, max_score=91.1701, min_score=87.8865, running_time=1.74128h, search_time=0.649555h
loop_count=14300/100000, max_score=91.1701, min_score=87.9359, running_time=1.75831h, search_time=0.654419h
loop_count=14400/100000, max_score=91.1701, min_score=87.9994, running_time=1.77489h, search_time=0.659232h
loop_count=14500/100000, max_score=91.1701, min_score=88.0462, running_time=1.79026h, search_time=0.664063h
loop_count=14600/100000, max_score=91.1701, min_score=88.0837, running_time=1.80537h, search_time=0.668942h
loop_count=14700/100000, max_score=91.1701, min_score=88.1284, running_time=1.81909h, search_time=0.673925h
loop_count=14800/100000, max_score=91.2532, min_score=88.1818, running_time=1.8347h, search_time=0.678785h
loop_count=14900/100000, max_score=91.2532, min_score=88.2182, running_time=1.84975h, search_time=0.683539h
loop_count=15000/100000, max_score=91.2532, min_score=88.2431, running_time=1.86583h, search_time=0.68843h
loop_count=15100/100000, max_score=91.2532, min_score=88.2792, running_time=1.88127h, search_time=0.693063h
loop_count=15200/100000, max_score=91.2532, min_score=88.3181, running_time=1.89746h, search_time=0.697884h
loop_count=15300/100000, max_score=91.2532, min_score=88.3562, running_time=1.91341h, search_time=0.702821h
loop_count=15400/100000, max_score=91.2532, min_score=88.3981, running_time=1.92834h, search_time=0.707787h
loop_count=15500/100000, max_score=91.2532, min_score=88.4307, running_time=1.94433h, search_time=0.712433h
loop_count=15600/100000, max_score=91.2532, min_score=88.463, running_time=1.9587h, search_time=0.717126h
loop_count=15700/100000, max_score=91.2532, min_score=88.5053, running_time=1.97496h, search_time=0.721988h
loop_count=15800/100000, max_score=91.2532, min_score=88.5385, running_time=1.9912h, search_time=0.726729h
loop_count=15900/100000, max_score=91.2532, min_score=88.5799, running_time=2.0058h, search_time=0.73152h
loop_count=16000/100000, max_score=91.2532, min_score=88.6343, running_time=2.0203h, search_time=0.736288h
loop_count=16100/100000, max_score=91.2532, min_score=88.6746, running_time=2.03588h, search_time=0.741139h
loop_count=16200/100000, max_score=91.2532, min_score=88.7154, running_time=2.05062h, search_time=0.746207h
loop_count=16300/100000, max_score=91.9813, min_score=88.7634, running_time=2.06373h, search_time=0.750916h
loop_count=16400/100000, max_score=91.9813, min_score=88.8177, running_time=2.07896h, search_time=0.755915h
loop_count=16500/100000, max_score=91.9813, min_score=88.8656, running_time=2.09633h, search_time=0.760835h
loop_count=16600/100000, max_score=91.9813, min_score=88.9068, running_time=2.11203h, search_time=0.765447h
loop_count=16700/100000, max_score=91.9813, min_score=88.9302, running_time=2.12792h, search_time=0.770216h
loop_count=16800/100000, max_score=91.9813, min_score=88.9853, running_time=2.14365h, search_time=0.774962h
loop_count=16900/100000, max_score=91.9813, min_score=89.0288, running_time=2.15795h, search_time=0.779958h
loop_count=17000/100000, max_score=91.9813, min_score=89.063, running_time=2.1734h, search_time=0.784795h
loop_count=17100/100000, max_score=91.9813, min_score=89.0985, running_time=2.18868h, search_time=0.789603h
loop_count=17200/100000, max_score=91.9813, min_score=89.1373, running_time=2.20331h, search_time=0.794534h
loop_count=17300/100000, max_score=91.9813, min_score=89.1904, running_time=2.2183h, search_time=0.799312h
