The seed number is set to 789
loop_count=16900/100000, max_score=87.2177, min_score=79.2452, time=0.771611h
loop_count=17000/100000, max_score=87.2177, min_score=79.3157, time=0.776361h
loop_count=17100/100000, max_score=87.2177, min_score=79.3461, time=0.780961h
loop_count=17200/100000, max_score=88.69, min_score=79.4331, time=0.785889h
loop_count=17300/100000, max_score=88.8702, min_score=79.5349, time=0.790639h
loop_count=17400/100000, max_score=88.8702, min_score=79.598, time=0.795026h
loop_count=17500/100000, max_score=88.8702, min_score=79.6334, time=0.799441h
loop_count=17600/100000, max_score=90.3411, min_score=79.7243, time=0.804433h
loop_count=17700/100000, max_score=90.3411, min_score=79.7693, time=0.809014h
loop_count=17800/100000, max_score=90.3411, min_score=79.8255, time=0.813641h
loop_count=17900/100000, max_score=90.3411, min_score=79.9046, time=0.818286h
loop_count=18000/100000, max_score=90.3411, min_score=79.9559, time=0.823055h
loop_count=18100/100000, max_score=90.3411, min_score=80.0379, time=0.827871h
loop_count=18200/100000, max_score=90.3411, min_score=80.1361, time=0.832507h
loop_count=18300/100000, max_score=90.3411, min_score=80.2062, time=0.836866h
loop_count=18400/100000, max_score=90.3411, min_score=80.2516, time=0.841114h
loop_count=18500/100000, max_score=90.3411, min_score=80.3224, time=0.845944h
loop_count=18600/100000, max_score=90.3411, min_score=80.3453, time=0.850404h
loop_count=18700/100000, max_score=90.3411, min_score=80.366, time=0.854639h
loop_count=18800/100000, max_score=90.3411, min_score=80.398, time=0.859211h
loop_count=18900/100000, max_score=90.3411, min_score=80.4515, time=0.863643h
loop_count=19000/100000, max_score=90.3411, min_score=80.4994, time=0.868189h
loop_count=19100/100000, max_score=90.3411, min_score=80.5238, time=0.872697h
loop_count=19200/100000, max_score=90.3411, min_score=80.5627, time=0.877194h
loop_count=19300/100000, max_score=90.3411, min_score=80.589, time=0.881755h
loop_count=19400/100000, max_score=90.3411, min_score=80.6212, time=0.886464h
loop_count=19500/100000, max_score=90.3411, min_score=80.6943, time=0.891031h
loop_count=19600/100000, max_score=90.3411, min_score=80.7251, time=0.895365h
loop_count=19700/100000, max_score=90.3411, min_score=80.7726, time=0.900135h
loop_count=19800/100000, max_score=90.3411, min_score=80.8276, time=0.904874h
loop_count=19900/100000, max_score=90.3411, min_score=80.904, time=0.909352h
loop_count=20000/100000, max_score=90.3411, min_score=80.9784, time=0.914344h
